loggin | 2021-08-03 12:20:56,503 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:20:56,503 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:21:02,015 | ERROR | Error inserting
loggin | 2021-08-03 12:21:02,015 | ERROR | Error inserting
loggin | 2021-08-03 12:21:02,017 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:21:02,017 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:21:10,058 | ERROR | Error inserting
loggin | 2021-08-03 12:21:10,058 | ERROR | Error inserting
loggin | 2021-08-03 12:21:10,062 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:21:10,062 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:21:45,643 | ERROR | Error inserting
loggin | 2021-08-03 12:21:45,643 | ERROR | Error inserting
loggin | 2021-08-03 12:21:45,645 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:21:45,645 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:22:22,129 | ERROR | Error inserting
loggin | 2021-08-03 12:22:22,129 | ERROR | Error inserting
loggin | 2021-08-03 12:22:22,129 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:22:22,129 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:22:36,093 | ERROR | Error inserting
loggin | 2021-08-03 12:22:36,093 | ERROR | Error inserting
loggin | 2021-08-03 12:22:36,094 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:22:36,094 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:28:22,558 | ERROR | Error inserting
loggin | 2021-08-03 12:28:22,558 | ERROR | Error inserting
loggin | 2021-08-03 12:28:22,560 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:28:22,560 | ERROR | Error inserting 'Collection' object is not callable. If you meant to call the 'insert_one' method on a 'Database' object it is failing because no such method exists.
loggin | 2021-08-03 12:29:04,251 | ERROR | Error inserting
loggin | 2021-08-03 12:29:04,251 | ERROR | Error inserting
loggin | 2021-08-03 12:29:04,252 | ERROR | Error inserting bad auth : Authentication failed., full error: {'ok': 0, 'errmsg': 'bad auth : Authentication failed.', 'code': 8000, 'codeName': 'AtlasError'}
loggin | 2021-08-03 12:29:04,252 | ERROR | Error inserting bad auth : Authentication failed., full error: {'ok': 0, 'errmsg': 'bad auth : Authentication failed.', 'code': 8000, 'codeName': 'AtlasError'}
loggin | 2021-08-03 12:29:16,631 | ERROR | Error inserting
loggin | 2021-08-03 12:29:16,631 | ERROR | Error inserting
loggin | 2021-08-03 12:29:16,633 | ERROR | Error inserting bad auth : Authentication failed., full error: {'ok': 0, 'errmsg': 'bad auth : Authentication failed.', 'code': 8000, 'codeName': 'AtlasError'}
loggin | 2021-08-03 12:29:16,633 | ERROR | Error inserting bad auth : Authentication failed., full error: {'ok': 0, 'errmsg': 'bad auth : Authentication failed.', 'code': 8000, 'codeName': 'AtlasError'}
loggin | 2021-08-03 12:31:05,727 | ERROR | Error inserting
loggin | 2021-08-03 12:31:05,727 | ERROR | Error inserting
loggin | 2021-08-03 12:31:05,728 | ERROR | Error inserting bad auth : Authentication failed., full error: {'ok': 0, 'errmsg': 'bad auth : Authentication failed.', 'code': 8000, 'codeName': 'AtlasError'}
loggin | 2021-08-03 12:31:05,728 | ERROR | Error inserting bad auth : Authentication failed., full error: {'ok': 0, 'errmsg': 'bad auth : Authentication failed.', 'code': 8000, 'codeName': 'AtlasError'}
loggin | 2021-08-03 12:31:12,028 | ERROR | Error inserting
loggin | 2021-08-03 12:31:12,028 | ERROR | Error inserting
loggin | 2021-08-03 12:31:12,030 | ERROR | Error inserting bad auth : Authentication failed., full error: {'ok': 0, 'errmsg': 'bad auth : Authentication failed.', 'code': 8000, 'codeName': 'AtlasError'}
